Season,Team,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NetRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,ELO
1987,Boston Celtics,3.0,29.4,59.0,23.0,57.0,25.0,6.65,-0.08,6.57,113.5,106.8,6.700000000000002,98.6,0.305,0.08,0.5770000000000001,0.532,14.0,29.0,0.247,0.47100000000000003,12.0,67.6,0.217,Boston Garden,611222.0,,1675.6960000000001
1987,Chicago Bulls,8.0,25.4,40.0,42.0,43.0,39.0,0.89,0.37,1.26,108.6,107.6,1.0,95.8,0.315,0.042,0.528,0.478,13.4,35.0,0.245,0.491,13.8,70.0,0.251,Chicago Stadium,650818.0,,1539.3923
1987,Cleveland Cavaliers,18.0,24.6,31.0,51.0,31.0,51.0,-3.82,0.63,-3.19,102.6,106.4,-3.8000000000000114,101.3,0.359,0.047,0.519,0.47600000000000003,16.4,34.4,0.25,0.484,14.2,65.9,0.22399999999999998,Coliseum at Richfield,447125.0,,1427.4442
1987,Dallas Mavericks,4.0,26.4,55.0,27.0,56.0,26.0,6.3,-0.77,5.54,114.9,108.7,6.200000000000002,100.5,0.369,0.08900000000000001,0.5579999999999999,0.503,12.3,33.8,0.29100000000000004,0.486,13.5,66.5,0.233,Reunion Arena,696333.0,,1617.868
1987,Denver Nuggets,15.0,28.2,37.0,45.0,39.0,43.0,-0.87,-0.28,-1.14,109.3,110.2,-0.9000000000000057,106.2,0.32299999999999995,0.049,0.527,0.478,11.8,32.2,0.248,0.503,15.4,67.0,0.307,McNichols Sports Arena,494943.0,,1511.9536
1987,Detroit Pistons,6.0,26.7,52.0,30.0,50.0,32.0,3.44,0.07,3.51,109.2,105.8,3.4000000000000057,101.0,0.36,0.023,0.544,0.4920000000000001,14.5,34.7,0.275,0.47100000000000003,13.3,69.9,0.267,Pontiac Silverdome,907520.0,,1596.1667
1987,Golden State Warriors,16.0,26.9,42.0,40.0,35.0,47.0,-2.34,-0.2,-2.54,108.9,111.2,-2.299999999999997,101.7,0.341,0.049,0.539,0.48700000000000004,13.7,32.5,0.266,0.503,14.2,65.3,0.272,Oakland-Alameda County Coliseum Arena,423997.0,,1462.9919
1987,Houston Rockets,9.0,26.1,42.0,40.0,44.0,38.0,1.0,-0.4,0.6,106.5,105.5,1.0,99.9,0.324,0.045,0.528,0.483,14.3,33.5,0.24,0.47,14.1,68.0,0.261,The Summit,660175.0,,1525.7162
1987,Indiana Pacers,13.0,25.9,41.0,41.0,39.0,43.0,-0.65,0.47,-0.17,106.0,106.6,-0.5999999999999943,98.8,0.29600000000000004,0.043,0.525,0.478,13.4,30.5,0.23199999999999998,0.48700000000000004,14.9,68.8,0.281,Market Square Arena,521007.0,,1511.2535
1987,League Average,,26.6,,,41.0,41.0,0.0,-0.01,-0.01,108.3,108.3,0.0,100.8,0.34299999999999997,0.053,0.5379999999999999,0.488,14.3,33.4,0.262,0.488,14.3,66.6,0.262,,524600.0,11448.0,1503.2793260869566
1987,Los Angeles Clippers,23.0,26.2,12.0,70.0,16.0,66.0,-11.43,0.42,-11.0,101.2,112.3,-11.099999999999996,102.7,0.34299999999999997,0.047,0.508,0.457,15.0,31.8,0.255,0.526,15.5,64.3,0.258,Los Angeles Memorial Sports Arena,316140.0,,1207.3329
1987,Los Angeles Lakers,1.0,27.8,65.0,17.0,62.0,20.0,9.3,-0.99,8.32,115.6,106.5,9.099999999999994,101.6,0.35200000000000004,0.062,0.5770000000000001,0.528,14.0,34.1,0.278,0.47600000000000003,13.8,66.3,0.23,The Forum,681207.0,,1686.2128
1987,Milwaukee Bucks,5.0,27.7,50.0,32.0,51.0,31.0,3.91,0.12,4.04,109.5,105.6,3.9000000000000057,100.3,0.35,0.079,0.539,0.48700000000000004,13.0,31.1,0.268,0.479,16.0,66.1,0.307,MECCA Arena,451797.0,,1605.7576
