,result,season,team1,team2,d_ELO,d_NetRtg,d_SRS
26048,0,1985,NJN,BOS,-179.58859999999981,-12.231052631578953,-11.20198122855506
26049,1,1985,MIL,IND,186.69129999999996,9.868831168831168,7.964712056090725
26050,1,1985,CHI,DAL,-35.980999999999995,1.0238095238095248,0.8837877433797178
26051,0,1985,GSW,PHO,-112.18230000000017,-7.016746411483254,-6.312646579982801
26052,0,1985,CLE,DEN,-222.51880000000006,-14.382368421052636,-13.270778993545164
26053,1,1985,WSB,LAL,-60.2333000000001,-2.692339544513459,-0.5702039962464545
26054,0,1985,POR,HOU,123.42179999999985,3.7538961038961065,4.820103318596699
26055,1,1985,BOS,ATL,231.13490000000002,11.536666666666669,10.990551871226849
26056,1,1985,UTA,KCK,65.48839999999927,4.582957393483711,3.517671173432043
26057,1,1985,LAC,SAS,-43.21309999999994,-5.071325051759836,-2.618139632633507
26058,1,1985,SEA,HOU,-2.9138000000000375,-6.18181818181818,-4.07448583214577
26059,1,1985,PHI,NYK,148.03279999999995,6.862499999999997,7.830656106992864
26060,0,1985,IND,ATL,-86.21820000000002,-5.772727272727275,-4.680379569878017
26061,1,1985,BOS,NJN,194.59730000000013,11.990476190476194,10.489092753623188
26062,0,1985,CLE,MIL,-246.1494,-14.315652173913048,-11.506642834291082
26063,1,1985,PHO,HOU,65.45489999999995,-2.282608695652171,-0.9077389062847561
26064,0,1985,CHI,DET,-92.16779999999994,-0.08201581027667951,-1.6931097702034457
26065,1,1985,NYK,PHI,-157.10969999999998,-7.9897142857142835,-8.557562946703055
26066,1,1985,DEN,POR,2.36220000000003,-1.6043478260869577,-1.0272289456097266
26067,1,1985,KCK,SAS,-36.6398999999999,-3.7209090909090934,-2.1115627860026356
26068,0,1985,GSW,LAC,-14.996499999999969,-1.5212499999999967,-2.427840752298145
26069,0,1985,WSB,UTA,54.38329999999996,1.0454545454545447,3.1619174700385884
26070,1,1985,DAL,KCK,65.31179999999995,2.8123376623376646,2.7763914778251424
26071,1,1985,SAS,DEN,-114.28890000000001,-4.867193675889327,-6.168436699794027
26072,1,1985,ATL,CLE,157.81359999999995,10.828985507246381,8.819201388433699
26073,1,1985,PHI,BOS,-100.91840000000002,-6.700000000000002,-5.003910677900429
26074,1,1985,DET,CHI,109.48109999999997,0.6322463768115938,2.0374764007774324
26075,1,1985,NJN,MIL,-74.59159999999997,-5.667045454545456,-3.254338907118626
26076,1,1985,LAL,GSW,204.08770000000004,10.617857142857142,9.796399637273565
26077,1,1985,LAC,POR,-122.21170000000006,-10.254833333333337,-8.669745614269422
26078,1,1985,HOU,ATL,-26.89670000000001,0.7333333333333323,0.15305955666891413
26079,1,1985,NYK,UTA,-31.385600000000068,-2.818729096989965,-2.3187074834019734
26080,1,1985,PHO,WSB,-0.20160000000055334,-0.527173913043477,-2.413780717435168
26081,1,1985,SEA,LAL,-126.69769999999994,-7.165913043478261,-5.680900882686703
26082,0,1985,DEN,KCK,131.56389999999988,7.482213438735178,7.210179909999971
26083,1,1985,DAL,SAS,21.91930000000002,-1.0545289855072466,0.2625975183678094
26084,1,1985,BOS,UTA,210.44589999999994,10.688224637681161,10.104698031847285
26085,0,1985,MIL,PHI,-37.224300000000085,-0.33756521739130463,-2.8872163446950516
26086,1,1985,GSW,POR,-164.22680000000014,-12.928181818181818,-11.904706487715185
26087,1,1985,DET,IND,182.47079999999983,5.780434782608698,6.527619553420172
26088,1,1985,NJN,CHI,71.39159999999993,0.20765217391303958,0.6273554605610681
26089,1,1985,IND,NJN,-145.04149999999981,-5.604166666666665,-5.693996914836895
26090,1,1985,HOU,DAL,-36.17010000000005,2.316999999999998,0.774188751261341
26091,1,1985,CLE,NYK,-151.61580000000004,-8.084680134680141,-6.512854734971457
26092,0,1985,CHI,PHI,-178.0779,-5.423397435897434,-5.996755138688658
26093,0,1985,ATL,BOS,-223.72130000000016,-9.67216666666667,-9.507221017483706
26094,1,1985,LAC,WSB,-75.4967999999999,-4.099679487179489,-4.462626632784846
26095,1,1985,KCK,SEA,-45.667399999999816,-1.3030797101449294,-1.4807697817917571
26096,1,1985,SAS,PHO,-88.22510000000011,-2.0759999999999996,-2.8168865656686304
26097,1,1985,MIL,UTA,78.20360000000005,4.2959999999999985,2.8645438661293086
26098,1,1985,LAL,WSB,80.42589999999996,4.4380000000000015,2.2807998220346475
26099,1,1985,LAC,GSW,50.538299999999936,3.0243961352656976,3.370446038873797
26100,0,1985,DEN,SEA,61.552599999999984,5.509833333333333,5.041097442334557
26101,1,1985,WSB,NJN,2.446999999999889,0.17169230769230914,1.1509264207292975
26102,1,1985,SEA,POR,-44.9393,-6.676923076923077,-5.502958484825964
26103,1,1985,CLE,SAS,-141.53219999999988,-9.56053511705686,-7.523165921434442
26104,0,1985,NYK,BOS,-248.17099999999982,-13.051571428571428,-12.571640147010054
26105,0,1985,CHI,HOU,-32.50719999999933,-3.2958689458689436,-1.7461103271074139
26106,0,1985,ATL,LAL,-119.85089999999946,-3.3843304843304858,-2.650709016201207
26107,1,1985,MIL,DAL,78.19389999999999,4.6367407407407395,2.7297146151246174
26108,0,1985,GSW,DEN,-122.06040000000007,-9.579666666666665,-9.010929104775045
26109,1,1985,KCK,PHO,-102.31540000000018,-4.803846153846156,-4.3102944169917485
26110,1,1985,IND,UTA,-96.69859999999994,-4.4756923076923085,-4.091344679725766
26111,0,1985,DEN,DET,-46.5489,0.9621538461538448,-0.5841900974602243
26112,0,1985,BOS,MIL,138.87799999999993,6.21758241758242,6.744686242602391
26113,1,1985,PHI,SAS,171.029,5.401629629629628,7.250066962439188
26114,1,1985,NJN,WSB,-15.283200000000079,-0.8813390313390328,-1.7606258580874865
26115,1,1985,LAC,SEA,-38.525499999999965,-1.2061507936507958,-1.3808237504849599
26116,0,1985,HOU,LAL,-121.88660000000073,-1.7890211640211668,-2.076514817353819
26117,0,1985,POR,KCK,77.86339999999996,6.970518518518521,6.027902550841764
26118,1,1985,NYK,CLE,116.12340000000017,6.035488505747133,4.948242201941067
26119,0,1985,ATL,CHI,49.91740000000004,2.201851851851851,1.5149128453410845
26120,1,1985,UTA,DET,-109.47770000000014,-2.845441595441596,-4.244794923789444
26121,0,1985,NJN,SAS,49.32629999999995,-0.22896825396825726,1.1792309133442593
26122,1,1985,LAL,PHO,80.47260000000006,3.3941251596424014,3.0586517829363027
26123,1,1985,GSW,SEA,-105.44450000000006,-5.326142857142856,-5.219808687769353
26124,1,1985,DEN,DAL,11.159800000000132,2.4079772079772077,1.3864460736012205
26125,1,1985,BOS,IND,296.1600000000001,14.685185185185189,13.674953263121983
26126,1,1985,WSB,NYK,47.9840999999999,1.671190476190474,3.4312505275725074
26127,0,1985,PHI,MIL,25.289600000000064,-0.12122015915119455,1.536993890721393
26128,1,1985,KCK,DET,-121.73050000000012,-4.4682336182336195,-5.228464710764866
26129,0,1985,IND,CLE,61.51310000000012,4.244444444444447,4.11214656419296
26130,1,1985,ATL,WSB,-50.17530000000011,0.7701970443349755,-0.3887043969297559
26131,1,1985,HOU,DEN,-41.631399999999985,-0.33214285714285796,-0.8934123215604701
26132,1,1985,CHI,BOS,-261.5613000000001,-11.167364532019706,-9.802311900573653
26133,1,1985,PHO,POR,8.439399999999978,-3.339285714285714,-2.6365766705314355
26134,1,1985,PHI,NJN,129.69730000000004,5.651851851851853,6.009714117061707
26135,1,1985,MIL,SAS,145.77800000000002,5.378390804597701,5.535869997140123
26136,0,1985,UTA,DAL,1.9425999999998567,0.653703703703703,-0.2300538309401986
26137,1,1985,SEA,LAC,21.756599999999935,0.7224137931034496,0.6835207943948807
26138,1,1985,POR,GSW,118.28379999999993,10.252652519893898,9.206319198869531
26139,0,1985,NYK,NJN,-36.538699999999835,-1.215572858731921,-2.183626092468621
26140,0,1985,DET,PHI,-54.91509999999994,-3.5214285714285705,-3.228036811856302
26141,1,1985,CLE,ATL,-134.4362000000001,-10.023872679045095,-9.280279961265112
26142,1,1985,ATL,NYK,27.426400000000058,3.924999999999998,3.9256962976900773
26143,1,1985,DAL,LAC,40.83339999999998,1.974285714285716,2.477436667070433
26144,0,1985,PHO,BOS,-137.1461999999999,-8.300000000000002,-7.630781972257898
26145,1,1985,NJN,DET,-69.5761,-2.6029885057471294,-3.2646400964050977
26146,1,1985,DEN,SAS,34.854499999999916,2.4365517241379298,2.6345570017533984
26147,1,1985,MIL,HOU,135.4912999999999,2.7791991101223594,2.6953026195697927
26148,1,1985,LAL,SEA,121.73739999999998,6.060000000000001,5.512113266905047
26149,1,1985,WSB,IND,116.3909000000001,4.099047619047619,4.767903294230005
